datum_vzniku,datum_zaniku,esa,esa_kod,ico,kpf,kpp,nazev_obce,npf,nuts4,nuts4k,of
2000-05-18,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25938002,112,2500 - 2999 zaměstnanců,Pardubice IV,Společnost s ručením omezeným,Pardubice,CZ0532,FOXCONN CZ s.r.o.
1991-03-27,,Nefinanční podniky soukromé národní,11002,14706725,121,250 - 499 zaměstnanců,Karlovy Vary,Akciová společnost,Karlovy Vary,CZ0412,"Karlovarské minerální vody, a. s."
1995-09-13,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,63991691,112,200 - 249 zaměstnanců,Podbořany,Společnost s ručením omezeným,Louny,CZ0424,LOGIT s.r.o.
1999-12-22,2012-09-30,,,25849115,112,2000 - 2499 zaměstnanců,Frenštát pod Radhoštěm,Společnost s ručením omezeným,Nový Jičín,CZ0804,Continental Automotive Systems Czech Republic s.r.o.
2000-10-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26207281,112,50 - 99 zaměstnanců,Rokycany,Společnost s ručením omezeným,Rokycany,CZ0326,Prowell s.r.o.
1992-02-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,44564422,112,500 - 999 zaměstnanců,Turnov,Společnost s ručením omezeným,Semily,CZ0514,ONTEX CZ s.r.o.
1997-04-02,2007-08-31,,,25118170,112,Neuvedeno,Vamberk,Společnost s ručením omezeným,Rychnov nad Kněžnou,CZ0524,"ESAB HOLDING, s.r.o."
1996-11-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25012240,121,2500 - 2999 zaměstnanců,Bílina,Akciová společnost,Teplice,CZ0426,AGC Automotive Czech a.s.
2001-03-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26438356,112,1000 - 1499 zaměstnanců,Pardubice VI,Společnost s ručením omezeným,Pardubice,CZ0532,"Panasonic Automotive Systems Czech, s.r.o."
1994-07-14,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,62024922,112,5000 - 9999 zaměstnanců,Jičín,Společnost s ručením omezeným,Jičín,CZ0522,Continental Automotive Czech Republic s.r.o.
1993-11-01,,Nefinanční podniky soukromé národní,11002,49100262,121,500 - 999 zaměstnanců,Lovosice,Akciová společnost,Litoměřice,CZ0423,"Lovochemie, a.s."
2000-06-15,,Nefinanční podniky soukromé národní,11002,25939637,112,100 - 199 zaměstnanců,Jaroměř,Společnost s ručením omezeným,Náchod,CZ0523,KARSIT LISOVNY s.r.o.
1996-05-28,2007-08-01,,,25003887,121,2000 - 2499 zaměstnanců,Litvínov,Akciová společnost,Most,CZ0425,"CHEMOPETROL, a.s."
1998-05-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25398075,112,100 - 199 zaměstnanců,Petrovice u Karviné,Společnost s ručením omezeným,Karviná,CZ0803,Bekaert Petrovice s.r.o.
2001-04-19,2008-01-21,,,26445221,112,250 - 499 zaměstnanců,Hodonín,Společnost s ručením omezeným,Hodonín,CZ0645,"Collins & Aikman Automotive s.r.o., ve správě ( in Administration )"
1993-10-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49687131,112,1000 - 1499 zaměstnanců,Zdice,Společnost s ručením omezeným,Beroun,CZ0202,"KOSTAL CR, spol. s r.o."
1964-05-29,,Nefinanční podniky soukromé národní,11002,64052249,121,Neuvedeno,Varnsdorf,Akciová společnost,Děčín,CZ0421,VELVETA TEXTILIE a.s.
1999-12-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26131056,112,500 - 999 zaměstnanců,Žebrák,Společnost s ručením omezeným,Beroun,CZ0202,VALEO VÝMĚNÍKY TEPLA s.r.o.
2001-04-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26449218,112,50 - 99 zaměstnanců,Louka u Litvínova,Společnost s ručením omezeným,Most,CZ0425,Magnesium Elektron CZ s.r.o.
2001-03-14,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26439913,112,250 - 499 zaměstnanců,Louny,Společnost s ručením omezeným,Louny,CZ0424,FUJIKOKI CZECH s.r.o.
1992-05-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46708952,121,500 - 999 zaměstnanců,Trmice,Akciová společnost,Ústí nad Labem,CZ0427,"KS Kolbenschmidt Czech Republic, a. s."
2000-12-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26418495,112,250 - 499 zaměstnanců,Bystrovany,Společnost s ručením omezeným,Olomouc,CZ0712,Koyo Bearings Česká republika s.r.o.
2001-03-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26437171,112,500 - 999 zaměstnanců,Klášterec nad Ohří,Společnost s ručením omezeným,Chomutov,CZ0422,"Toyoda Gosei Czech, s.r.o."
1992-05-07,,Nefinanční podniky soukromé národní,11002,46708707,121,Neuvedeno,Ústí nad Labem-Střekov,Akciová společnost,Ústí nad Labem,CZ0427,SETUZA a.s.
2000-09-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25863321,112,500 - 999 zaměstnanců,Bruntál,Společnost s ručením omezeným,Bruntál,CZ0801,OSRAM Česká republika s.r.o.
2001-01-03,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26424444,112,250 - 499 zaměstnanců,Velim,Společnost s ručením omezeným,Kolín,CZ0204,Ball Aerocan CZ s.r.o.
1994-03-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60851236,112,500 - 999 zaměstnanců,Strakonice,Společnost s ručením omezeným,Strakonice,CZ0316,"Brabant Alucast Czech, Site Strakonice s.r.o."
1999-11-24,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26131030,112,Neuvedeno,Praha 4,Společnost s ručením omezeným,Praha,CZ0100,"ALUCZECH, s.r.o."
2001-04-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25950665,112,50 - 99 zaměstnanců,Ždírec nad Doubravou,Společnost s ručením omezeným,Havlíčkův Brod,CZ0631,Stora Enso WP HV s.r.o.
1993-01-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46995129,112,4000 - 4999 zaměstnanců,Jihlava,Společnost s ručením omezeným,Jihlava,CZ0632,BOSCH DIESEL s.r.o.
1994-09-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49823001,113,1000 - 1499 zaměstnanců,Rakovník,Společnost komanditní,Rakovník,CZ020C,VALEO AUTOKLIMATIZACE k.s.
1997-03-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25114638,121,500 - 999 zaměstnanců,Vsetín,Akciová společnost,Vsetín,CZ0723,INDET SAFETY SYSTEMS a.s.
2000-12-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26421658,112,250 - 499 zaměstnanců,Olomouc,Společnost s ručením omezeným,Olomouc,CZ0712,Senior Flexonics Czech s.r.o.
1992-04-09,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,45534144,121,500 - 999 zaměstnanců,Kostelec nad Orlicí,Akciová společnost,Rychnov nad Kněžnou,CZ0524,Federal-Mogul Friction Products a.s.
2001-06-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26036835,112,500 - 999 zaměstnanců,Český Krumlov,Společnost s ručením omezeným,Český Krumlov,CZ0312,"Schwan Cosmetics CR, s.r.o."
1991-10-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,14864592,112,250 - 499 zaměstnanců,Duchcov,Společnost s ručením omezeným,Teplice,CZ0426,"VITRABLOK, s.r.o."
2000-12-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26031531,112,500 - 999 zaměstnanců,Kopřivnice,Společnost s ručením omezeným,Nový Jičín,CZ0804,"Dura Automotive Systems CZ, s.r.o."
1992-05-01,,Nefinanční podniky soukromé národní,11002,45534187,121,2000 - 2499 zaměstnanců,Dvůr Králové nad Labem,Akciová společnost,Trutnov,CZ0525,JUTA a.s.
1999-03-02,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25556045,121,6 - 9 zaměstnanců,Hodonín,Akciová společnost,Hodonín,CZ0645,"PLOMA, a.s."
2000-06-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26185822,112,250 - 499 zaměstnanců,Slaný,Společnost s ručením omezeným,Kladno,CZ0203,MITSUBISHI ELECTRIC AUTOMOTIVE CZECH s.r.o.
2001-06-13,2012-01-13,,,26036657,112,Neuvedeno,Strakonice,Společnost s ručením omezeným,Strakonice,CZ0316,"MEYSTER CZ, s.r.o. v likvidaci"
2001-03-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26438771,112,500 - 999 zaměstnanců,Žatec,Společnost s ručením omezeným,Louny,CZ0424,KOITO CZECH s.r.o.
1993-12-01,2013-05-29,Nefinanční podniky soukromé národní,11002,49452801,121,Neuvedeno,Jihlava,Akciová společnost,Jihlava,CZ0632,"Jihlavské sklárny BOHEMIA, a.s."
2000-12-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26318890,112,250 - 499 zaměstnanců,Havraň,Společnost s ručením omezeným,Most,CZ0425,Nemak Czech Republic s.r.o.
1995-02-09,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,62909037,112,500 - 999 zaměstnanců,Plazy,Společnost s ručením omezeným,Mladá Boleslav,CZ0207,Faurecia Interior Systems Bohemia s.r.o.
2001-03-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26034441,112,500 - 999 zaměstnanců,Vimperk,Společnost s ručením omezeným,Prachatice,CZ0315,"ROHDE & SCHWARZ závod Vimperk, s.r.o."
1991-01-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,00012661,112,1500 - 1999 zaměstnanců,Litomyšl,Společnost s ručením omezeným,Svitavy,CZ0533,SAINT-GOBAIN ADFORS CZ s.r.o.
1992-05-01,2004-12-08,,,46504761,121,1 - 5 zaměstnanců,Náchod,Akciová společnost,Náchod,CZ0523,R-TECH a.s.
1998-05-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25528165,112,100 - 199 zaměstnanců,Prostějov,Společnost s ručením omezeným,Prostějov,CZ0713,MUBEA - HZP s.r.o.
1991-05-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,18627781,112,250 - 499 zaměstnanců,Praha 8,Společnost s ručením omezeným,Praha,CZ0100,"UNILEVER ČR, spol. s r.o."
1992-01-31,,Nefinanční podniky soukromé národní,11002,45313351,121,1000 - 1499 zaměstnanců,Praha 5,Akciová společnost,Praha,CZ0100,"MAFRA, a.s."
2001-01-10,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25425846,112,250 - 499 zaměstnanců,Chomutov,Společnost s ručením omezeným,Chomutov,CZ0422,PULS investiční s.r.o.
2001-07-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25886665,112,500 - 999 zaměstnanců,Karviná,Společnost s ručením omezeným,Karviná,CZ0803,Mölnlycke Health Care Klinipro s.r.o.
1992-05-01,,Nefinanční podniky soukromé národní,11002,45534276,121,1000 - 1499 zaměstnanců,Broumov,Akciová společnost,Náchod,CZ0523,"VEBA, textilní závody a.s."
1993-08-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49706454,112,500 - 999 zaměstnanců,Slaný,Společnost s ručením omezeným,Kladno,CZ0203,F.X. MEILLER Slaný s.r.o.
1999-07-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25569341,112,500 - 999 zaměstnanců,Šumperk,Společnost s ručením omezeným,Šumperk,CZ0715,EPCOS s.r.o.
1994-03-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60278773,112,500 - 999 zaměstnanců,Chomutov,Společnost s ručením omezeným,Chomutov,CZ0422,SANDVIK CHOMUTOV PRECISION TUBES spol. s r.o.
1997-05-29,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25133152,112,2000 - 2499 zaměstnanců,Jihlava,Společnost s ručením omezeným,Jihlava,CZ0632,Automotive Lighting s.r.o.
1996-05-27,2008-05-30,,,25053272,121,500 - 999 zaměstnanců,Kralupy nad Vltavou,Akciová společnost,Mělník,CZ0206,SYNTHOS Kralupy a.s.
2001-10-03,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26482193,112,250 - 499 zaměstnanců,Plazy,Společnost s ručením omezeným,Mladá Boleslav,CZ0207,RECTICEL Interiors CZ s.r.o.
1991-10-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,44004036,112,50 - 99 zaměstnanců,Svárov,Společnost s ručením omezeným,Uherské Hradiště,CZ0722,"INVOS, spol. s r. o."
2001-08-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26464276,112,250 - 499 zaměstnanců,Slaný,Společnost s ručením omezeným,Kladno,CZ0203,Electric Powersteering Components Europe s.r.o.
1995-06-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,63468816,112,500 - 999 zaměstnanců,Praha 9,Společnost s ručením omezeným,Praha,CZ0100,"Kimberly-Clark, s.r.o."
1994-02-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60112301,112,500 - 999 zaměstnanců,Ústí nad Orlicí,Společnost s ručením omezeným,Ústí nad Orlicí,CZ0534,Rieter CZ s.r.o.
1991-06-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,41324226,112,100 - 199 zaměstnanců,Děčín,Společnost s ručením omezeným,Děčín,CZ0421,AIR PRODUCTS spol. s r.o.
2002-05-30,,Nefinanční podniky soukromé národní,11002,26287153,121,50 - 99 zaměstnanců,Znojmo,Akciová společnost,Znojmo,CZ0647,PEGAS-NT a.s.
2001-07-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25432338,112,2000 - 2499 zaměstnanců,Liberec (nečleněné město),Společnost s ručením omezeným,Liberec,CZ0513,DENSO MANUFACTURING CZECH s.r.o.
2001-08-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26259125,112,100 - 199 zaměstnanců,Žebrák,Společnost s ručením omezeným,Beroun,CZ0202,Wiegel CZ žárové zinkování s.r.o.
2001-07-17,2008-11-05,,,25883577,112,Neuvedeno,Rychvald,Společnost s ručením omezeným,Karviná,CZ0803,"Visteon-Nichirin-Czech, s.r.o. ""v likvidaci"""
2001-10-29,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26486059,112,500 - 999 zaměstnanců,Lovosice,Společnost s ručením omezeným,Litoměřice,CZ0423,TRCZ s.r.o.
1993-01-18,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46885820,112,250 - 499 zaměstnanců,Žebrák,Společnost s ručením omezeným,Beroun,CZ0202,Schwarzmüller s.r.o.
1993-08-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49812106,112,1000 - 1499 zaměstnanců,Jičín,Společnost s ručením omezeným,Jičín,CZ0522,RONAL CR s.r.o.
1991-01-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,00011754,121,500 - 999 zaměstnanců,Praha 14,Akciová společnost,Praha,CZ0100,Linde Gas a.s.
2001-11-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26489201,112,500 - 999 zaměstnanců,Dobříš,Společnost s ručením omezeným,Příbram,CZ020B,Doosan Bobcat Manufacturing s.r.o.
1995-10-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,63509326,121,250 - 499 zaměstnanců,Nejdek,Akciová společnost,Karlovy Vary,CZ0412,"Nejdecká česárna vlny, a. s."
2000-06-12,2010-10-04,,,26182025,112,25 - 49 zaměstnanců,Praha-Zličín,Společnost s ručením omezeným,Praha,CZ0100,"Siemens Kolejová vozidla s.r.o. ""v likvidaci"""
1997-04-15,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25370545,112,250 - 499 zaměstnanců,Sviadnov,Společnost s ručením omezeným,Frýdek-Místek,CZ0802,"Huisman Konstrukce, s.r.o."
1991-10-09,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,40524604,112,1500 - 1999 zaměstnanců,Plzeň 7-Radčice,Společnost s ručením omezeným,Plzeň-město,CZ0323,HP-Pelzer s.r.o.
1996-02-01,2008-10-01,,,64651142,121,500 - 999 zaměstnanců,Varnsdorf,Akciová společnost,Děčín,CZ0421,TOS VARNSDORF a.s.
1990-11-01,,Nefinanční podniky soukromé národní,11002,00536016,121,250 - 499 zaměstnanců,Třinec,Akciová společnost,Frýdek-Místek,CZ0802,"WALMARK, a.s."
1994-02-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60112387,121,1000 - 1499 zaměstnanců,Hradec Králové,Akciová společnost,Hradec Králové,CZ0521,"ARROW International CR, a.s."
2002-04-29,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26694778,112,250 - 499 zaměstnanců,Klášterec nad Ohří,Společnost s ručením omezeným,Chomutov,CZ0422,DONALDSON CZECH REPUBLIC s.r.o.
2002-01-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26504685,112,500 - 999 zaměstnanců,Humpolec,Společnost s ručením omezeným,Pelhřimov,CZ0633,Valeo Compressor Europe s.r.o.
1993-11-16,2010-12-01,,,49620614,112,3000 - 3999 zaměstnanců,Brandýs nad Labem-Stará Boleslav,Společnost s ručením omezeným,Praha-východ,CZ0209,Continental Automotive Czech Republic s.r.o.
2001-12-19,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26500299,112,25 - 49 zaměstnanců,Praha 2,Společnost s ručením omezeným,Praha,CZ0100,"Trafil Czech, s.r.o."
2002-04-08,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26690403,112,50 - 99 zaměstnanců,Louny,Společnost s ručením omezeným,Louny,CZ0424,Takada Industries Czech Republic s.r.o.
